2024-08-15 00:50:17.114 [Thread-8] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Closing JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-15 00:50:17.125 [Thread-8] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Shutdown initiated... -- 
2024-08-15 00:50:17.156 [Thread-8] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-2 - Shutdown completed. -- 
2024-08-15 00:50:17.705 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Starting GeneralApplication using Java 1.8.0_372-internal on zhengbiaodeMacBook-Air.local with PID 52121 (/Users/zhengbiaoxie/Workspace/code-wander-backend/target/classes started by zhengbiaoxie in /Users/zhengbiaoxie/Workspace/code-wander-backend) -- 
2024-08-15 00:50:17.708 [restartedMain] INFO  com.freebe.code.GeneralApplication -- No active profile set, falling back to default profiles: default -- 
2024-08-15 00:50:18.216 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Bootstrapping Spring Data JPA repositories in DEFAULT mode. -- 
2024-08-15 00:50:18.282 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 64 ms. Found 17 JPA repository interfaces. -- 
2024-08-15 00:50:18.619 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat initialized with port(s): 8990 (http) -- 
2024-08-15 00:50:18.624 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8990"] -- 
2024-08-15 00:50:18.626 [restartedMain] INFO  org.apache.catalina.core.StandardService -- Starting service [Tomcat] -- 
2024-08-15 00:50:18.626 [restartedMain] INFO  org.apache.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/9.0.54] -- 
2024-08-15 00:50:18.641 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] -- Initializing Spring embedded WebApplicationContext -- 
2024-08-15 00:50:18.641 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 906 ms -- 
2024-08-15 00:50:18.763 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Starting... -- 
2024-08-15 00:50:18.874 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -- HikariPool-3 - Start completed. -- 
2024-08-15 00:50:19.448 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -- Initialized JPA EntityManagerFactory for persistence unit 'default' -- 
2024-08-15 00:50:20.208 [restartedMain] INFO  com.freebe.code.common.CommonExecutor -- 启动线程： com.freebe.code.business.meta.service.impl.TransactionTimer$1@1b478880 -- 
2024-08-15 00:50:20.252 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration -- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning -- 
2024-08-15 00:50:20.407 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer -- LiveReload server is running on port 35729 -- 
2024-08-15 00:50:20.429 [restartedMain] WARN  org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -- Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) -- 
2024-08-15 00:50:20.448 [restartedMain] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration -- 

Using generated security password: a3de1522-5718-4b0d-a6c9-df9663659724
 -- 
2024-08-15 00:50:20.459 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain -- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ca2f676, org.springframework.security.web.context.SecurityContextPersistenceFilter@5a9410ae, org.springframework.security.web.header.HeaderWriterFilter@15b44899, org.springframework.web.filter.CorsFilter@37530564, org.springframework.security.web.authentication.logout.LogoutFilter@69dbbe65, com.freebe.code.web.filter.JWTAuthenticationFilter@7674092f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4a061199, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d4168c0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6d297154, org.springframework.security.web.session.SessionManagementFilter@57372510, org.springframework.security.web.access.ExceptionTranslationFilter@1f81f07d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@65c4844d] -- 
2024-08-15 00:50:20.478 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol -- Starting ProtocolHandler ["http-nio-8990"] -- 
2024-08-15 00:50:20.482 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer -- Tomcat started on port(s): 8990 (http) with context path '' -- 
2024-08-15 00:50:21.056 [restartedMain] INFO  com.freebe.code.GeneralApplication -- Started GeneralApplication in 3.534 seconds (JVM running for 11924.143) -- 
